level, endpoint, timestamp, user, status, comment
INFO,getDataRefresh,2024-09-28 08:02:35 PM,admin,200,Last Data Refresh Time
INFO,health,2024-09-28 08:09:56 PM,admin,200,Healthy Server
INFO,health,2024-09-28 08:12:08 PM,admin,200,Healthy Server
INFO,stats,2024-09-28 08:12:15 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 08:13:03 PM,admin,200,Stats of Course
INFO,health,2024-09-28 08:13:05 PM,admin,200,Healthy Server
INFO,getDataRefresh,2024-09-28 08:13:14 PM,admin,200,Last Data Refresh Time
INFO,data_refresh,2024-09-28 08:16:59 PM,admin,200,Refresh Success
ERROR,data_refresh,2024-09-28 08:16:59 PM,admin,500,Refresh Failed
INFO,report,2024-09-28 08:17:58 PM,akshayvijayvergiya@usf.edu,200,JSON Exported
INFO,report,2024-09-28 08:27:48 PM,akshayvijayvergiya@usf.edu,200,JSON Exported
INFO,report,2024-09-28 08:27:53 PM,akshayvijayvergiya@usf.edu,200,CSV Exported
INFO,report,2024-09-28 08:27:57 PM,akshayvijayvergiya@usf.edu,200,JSON Exported
INFO,health,2024-09-28 08:28:00 PM,admin,200,Healthy Server
INFO,stats,2024-09-28 08:28:03 PM,admin,200,Stats of Course
INFO,db_test,2024-09-28 08:28:12 PM,akshayvijayvergiya@usf.edu,200,Database connection successful
INFO,stats,2024-09-28 08:28:28 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 08:29:22 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 08:29:38 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 08:30:32 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 08:30:33 PM,admin,200,Stats of Course
INFO,db_test,2024-09-28 08:30:35 PM,akshayvijayvergiya@usf.edu,200,Database connection successful
INFO,health,2024-09-28 08:30:37 PM,admin,200,Healthy Server
INFO,data_refresh,2024-09-28 08:35:05 PM,admin,200,Refresh Success
INFO,stats,2024-09-28 08:35:37 PM,admin,200,Stats of Course
INFO,getDataRefresh,2024-09-28 11:49:08 PM,admin,200,Last Data Refresh Time
INFO,stats,2024-09-28 11:55:33 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 11:57:31 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 11:58:43 PM,admin,200,Stats of Course
INFO,stats,2024-09-28 11:58:48 PM,admin,200,Stats of Course
LOGIN,login,2024-09-29 12:35:57 AM,admin,200,Login successful
LOGIN,login,2024-09-29 12:44:25 AM,admin,200,Login successful
LOGIN,login,2024-09-29 12:54:23 AM,admin,200,Login successful
LOGIN,login,2024-09-29 12:56:50 AM,admin,401,Invalid password
LOGIN,login,2024-09-29 12:56:56 AM,admin,200,Login successful
INFO,stats,2024-09-29 12:56:56 AM,admin,200,Stats of Course
INFO,stats,2024-09-29 12:58:18 AM,admin,200,Stats of Course
INFO,stats,2024-09-29 12:58:19 AM,admin,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:21:37 PM,admin,200,Last Data Refresh Time
LOGIN,login,2024-09-29 10:26:54 PM,akshayvijayvergiya@usf.edu,200,Login successful
INFO,stats,2024-09-29 10:30:27 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,stats,2024-09-29 10:30:34 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
LOGIN,login,2024-09-29 10:34:06 PM,akshayvijayvergiya@usf.edu,200,Login successful
INFO,stats,2024-09-29 10:34:06 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:34:12 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:34:12 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:35:05 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:35:05 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:35:43 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:35:43 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:36:52 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:36:52 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:37:04 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:37:04 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:37:08 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,getDataRefresh,2024-09-29 10:37:08 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:37:08 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:37:38 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:37:38 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:37:41 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:37:41 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:37:58 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:37:58 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:39:33 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:39:33 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:39:35 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,getDataRefresh,2024-09-29 10:39:35 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:39:36 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
INFO,getDataRefresh,2024-09-29 10:39:46 PM,akshayvijayvergiya@usf.edu,200,Last Data Refresh Time
INFO,stats,2024-09-29 10:39:47 PM,akshayvijayvergiya@usf.edu,200,Stats of Course
